UGC00891; Group01; Equatorial; J2000; 01:21:19.0; +12:24:45.0; Heliocentric; Optical; 643.1; N;
CGCG385-151; Group01; Equatorial; J2000; 01:28:02.1; -00:44:17.9; Heliocentric; Optical; 965.0; N;
UGC01056; Group01; Equatorial; J2000; 01:28:47.4; +16:41:18.3; Heliocentric; Optical; 595.1; N;
SDSSJ013018.33; Group01; Equatorial; J2000; 01:30:18.3; +00:01:25.6; Heliocentric; Optical; 471.0; N;
LSBCF683-V10; Group01; Equatorial; J2000; 01:30:31.9; +11:29:25.0; Heliocentric; Optical; 975.0; N;
UGC01085; Group01; Equatorial; J2000; 01:31:18.9; +07:47:15.3; Heliocentric; Optical; 650.8; N;
UGC01104; Group01; Equatorial; J2000; 01:32:42.5; +18:19:00.8; Heliocentric; Optical; 688.0; N;
WISEAJ013259.7; Group01; Equatorial; J2000; 01:32:59.8; +14:22:26.0; Heliocentric; Optical; 658.3; N;
SDSSJ013334.68; Group01; Equatorial; J2000; 01:33:34.7; +00:03:14.5; Heliocentric; Optical; 275.8; N;
WISEAJ013451.6; Group11; Equatorial; J2000; 01:34:51.6; +52:05:30.9; Heliocentric; Optical; 52.8; N;
GALEXASCJ01363; Group01; Equatorial; J2000; 01:36:35.8; +23:48:55.5; Heliocentric; Optical; 561.0; N;
UGC01171; Group01; Equatorial; J2000; 01:39:44.8; +15:53:58.8; Heliocentric; Optical; 738.4; N;
UGC01175; Group01; Equatorial; J2000; 01:39:56.4; +11:05:51.0; Heliocentric; Optical; 727.9; N;
UGC01176; Group01; Equatorial; J2000; 01:40:09.9; +15:54:17.0; Heliocentric; Optical; 630.5; N;
IC0148; Group01; Equatorial; J2000; 01:42:27.0; +13:58:37.4; Heliocentric; Optical; 767.2; N;
UGC01200; Group01; Equatorial; J2000; 01:42:48.3; +13:09:21.6; Heliocentric; Optical; 807.9; N;
GALEXASCJ01453; Group01; Equatorial; J2000; 01:45:31.9; +16:21:40.4; Heliocentric; Optical; 692.7; N;
WISEAJ014548.0; Group01; Equatorial; J2000; 01:45:48.0; +16:22:39.5; Heliocentric; Optical; 724.4; N;
GALEXMSCJ01464; Group01; Equatorial; J2000; 01:46:42.1; +26:48:09.0; Heliocentric; Optical; 366.0; N;
UGC01246; Group01; Equatorial; J2000; 01:47:00.6; +12:24:19.5; Heliocentric; Optical; 801.9; N;
IC1727; Group01; Equatorial; J2000; 01:47:29.9; +27:20:02.1; Heliocentric; Optical; 345.1; N;
NGC0672; Group01; Equatorial; J2000; 01:47:54.4; +27:25:57.5; Heliocentric; Optical; 429.0; N;
WISEAJ014928.9; Group11; Equatorial; J2000; 01:49:29.0; +55:33:56.0; Heliocentric; Optical; 657.1; N;
UGC01281; Group01; Equatorial; J2000; 01:49:31.6; +32:35:19.5; Heliocentric; Optical; 155.9; N;
WISEAJ015548.3; Group11; Equatorial; J2000; 01:55:48.4; +65:30:04.0; Heliocentric; Optical; 830.4; N;
UGC01443; Group01; Equatorial; J2000; 01:57:33.9; +03:42:53.0; Heliocentric; Optical; 845.0; N;
NGC0746; Group11; Equatorial; J2000; 01:57:50.9; +44:55:07.2; Heliocentric; Optical; 703.0; N;
WISEAJ015759.8; Group01; Equatorial; J2000; 01:57:59.9; +18:10:42.2; Heliocentric; Optical; 730.0; N;
GALEXMSCJ02001; Group01; Equatorial; J2000; 02:00:10.2; +28:49:51.8; Heliocentric; Optical; 167.9; N;
WISEAJ020021.3; Group20; Equatorial; J2000; 02:00:21.4; +68:16:21.1; Heliocentric; Optical; 705.1; N;
NGC0784; Group01; Equatorial; J2000; 02:01:16.9; +28:50:12.3; Heliocentric; Optical; 197.9; N;
WISEAJ020140.0; Group01; Equatorial; J2000; 02:01:40.1; -29:17:48.9; Heliocentric; Optical; 659.5; N;
UGC01561; Group01; Equatorial; J2000; 02:04:04.8; +24:12:32.7; Heliocentric; Optical; 605.9; N;
Cas1; Group20; Equatorial; J2000; 02:06:03.4; +68:59:55.6; Heliocentric; Optical; 35.1; N;
WISEAJ021124.0; Group01; Equatorial; J2000; 02:11:24.1; +35:04:44.5; Heliocentric; Optical; 530.0; N;
WISEAJ021904.5; Group01; Equatorial; J2000; 02:19:04.6; -06:42:04.5; Heliocentric; Optical; 404.7; N;
WISEAJ022112.1; Group11; Equatorial; J2000; 02:21:12.2; +42:21:51.5; Heliocentric; Optical; 692.0; N;
UGC01807; Group11; Equatorial; J2000; 02:21:13.4; +42:45:45.7; Heliocentric; Optical; 628.1; N;
WISEAJ022308.8; Group01; Equatorial; J2000; 02:23:08.9; -29:52:32.2; Heliocentric; Optical; 779.5; N;
MCG-03-07-009; Group01; Equatorial; J2000; 02:24:14.8; -19:49:29.1; Heliocentric; Optical; 1052.0; N;
WISEAJ022434.0; Group11; Equatorial; J2000; 02:24:34.0; +56:00:40.7; Heliocentric; Optical; 310.0; N;
UGC01865; Group01; Equatorial; J2000; 02:25:00.3; +36:02:19.5; Heliocentric; Optical; 580.1; N;
